0,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,
6,10,,,,,,,,,,,,,
7,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,
11,20,,,,,,,,,,,,,
12,,,,,,,,,,,,,,
13,1,,,,,,,,,,,,,
14,,,,,,,,,,,,,,
15,0.65,11.15,38.77,,,,,,,,,,,
16,1.2,0.74,32.602,,,,,,,,,,,
17,,,,,,,,,,,,,,
18,1,4.99,18,,,,,,,,,,,
19,1.5,,,,,,,,,,,,,
20,5.47,17.75,,,,,,,,,,,,
21,,,,,,,,,,,,,,
22,2,7.99,,,,,,,,,,,,
23,2,23,,,,,,,,,,,,
24,,,,,,,,,,,,,,
25,0.425,0.9,0.63,,,,,,,,,,,
26,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,
29,0.129,,,,,,,,,,,,,
30,,,,,,,,,,,,,,
31,39.69,,,,,,,,,,,,,
32,2.5,,,,,,,,,,,,,
33,0.16,3.33,,,,,,,,,,,,
34,0.45,,,,,,,,,,,,,
35,40,,,,,,,,,,,,,
36,39.85,35.95,,,,,,,,,,,,
37,1.5,6.88,7.8,55,,,,,,,,,,
38,1.5,1.8,,,,,,,,,,,,
39,40,,,,,,,,,,,,,
40,14.25,16.1,,,,,,,,,,,,
41,51,44.5,,,,,,,,,,,,
42,2.85,7,,,,,,,,,,,,
43,0.64,38,49.69,54.95,,,,,,,,,,
44,0.35,7,,,,,,,,,,,,
45,1.2,,,,,,,,,,,,,
46,,,,,,,,,,,,,,
47,,,,,,,,,,,,,,
48,0.2,,,,,,,,,,,,,
49,0.8,,,,,,,,,,,,,
50,1,15,90,,,,,,,,,,,
51,1,2,3.8,48.88,,,,,,,,,,
52,3,,,,,,,,,,,,,
53,1,,,,,,,,,,,,,
54,0.45,2.3,8.87,,,,,,,,,,,
55,23,40,,,,,,,,,,,,
56,0.25,40,,,,,,,,,,,,
57,,,,,,,,,,,,,,
58,5,,,,,,,,,,,,,
59,1.301,1.6899,5.888,,,,,,,,,,,
60,,,,,,,,,,,,,,
61,0.49,0.2,0.72,2.3,16.69,35,,,,,,,,
62,0.35,0.44,,,,,,,,,,,,
63,,,,,,,,,,,,,,
64,2.61,3.24,47,,,,,,,,,,,
65,0.3,0.55,,,,,,,,,,,,
66,1.02,,,,,,,,,,,,,
67,0.455,0.6999,5,4.97,6.67,9.24,,,,,,,,
68,0.5,,,,,,,,,,,,,
69,1.95,,,,,,,,,,,,,
70,0.79,,,,,,,,,,,,,
71,0.5,1.19,48,45,,,,,,,,,,
72,0.4,1.2999,,,,,,,,,,,,
73,30,,,,,,,,,,,,,
