0,Orange,Robot,Discomfort,X Eyes,Silver Hoop,Striped Tee,None
1,Orange,Robot,Grin,Blue Beams,None,Vietnam Jacket,None
2,Aquamarine,Robot,Bored Cigarette,3d,None,None,Sea Captain's Hat
3,Purple,Cheetah,Tongue Out,Bored,None,Bone Necklace,None
4,Blue,Golden Brown,Phoneme L,Closed,None,Navy Striped Tee,Party Hat 2
5,Army Green,Brown,Dumbfounded,X Eyes,None,Bayc T Red,Bayc Flipped Brim
6,Yellow,Cream,Bored,Crazy,None,Tweed Suit,S&m Hat
7,Gray,Golden Brown,Bored,Angry,None,Wool Turtleneck,Stuntman Helmet
8,Aquamarine,Zombie,Bored,Robot,Gold Stud,None,Beanie
9,Purple,Brown,Small Grin,Sleepy,Silver Stud,Stunt Jacket,Seaman's Hat
10,Aquamarine,Dmt,Bored,Eyepatch,None,Navy Striped Tee,Bayc Hat Red
11,Gray,Dark Brown,Bored Unshaven Cigarette,Bloodshot,None,Smoking Jacket,Laurel Wreath
12,Army Green,Brown,Discomfort,Wide Eyed,None,Black Holes T,Seaman's Hat
13,Yellow,Black,Bored,Coins,None,Bone Tee,Police Motorcycle Helmet
14,Orange,Cheetah,Small Grin,3d,Diamond Stud,Tanktop,None
15,Gray,Gray,Phoneme L,Zombie,None,Black T,Girl's Hair Pink
16,Purple,Dark Brown,Dumbfounded,Bored,Silver Hoop,Bone Necklace,Horns
17,New Punk Blue,Tan,Bored Unshaven,Closed,Gold Stud,Bayc T Black,Commie Hat
18,Purple,Robot,Bored Cigarette,Cyborg,None,Vietnam Jacket,None
19,Army Green,Tan,Rage,Eyepatch,None,None,Bayc Hat Black
20,Blue,Gray,Phoneme Vuh,3d,None,Bandolier,Beanie
21,Orange,Black,Phoneme  ooo,Bored,None,Black Holes T,None
22,New Punk Blue,Zombie,Bored Unshaven,Sleepy,Gold Stud,Tuxedo Tee,S&m Hat
23,Aquamarine,Trippy,Bored Pipe,Bored,None,None,Beanie
24,Aquamarine,Black,Dumbfounded,Hypnotized,None,Bayc T Black,Fez
25,Blue,Brown,Bored Cigarette,Closed,None,Guayabera,None
26,Aquamarine,Dark Brown,Bored Cigarette,3d,None,Stunt Jacket,Stuntman Helmet
27,Orange,Gray,Bored,Bored,None,Sleeveless T,Army Hat
28,Purple,Tan,Bored Cigarette,X Eyes,Silver Stud,None,Bayc Flipped Brim
29,Blue,Tan,Bored Unshaven,Robot,None,None,None
30,Aquamarine,Gray,Bored Unshaven Cigarette,Holographic,None,Tuxedo Tee,None
31,Yellow,Dmt,Bored Unshaven,Eyepatch,Silver Hoop,Black Holes T,Party Hat 2
32,Purple,Dark Brown,Bored,Sunglasses,None,Hip Hop,Halo
33,Purple,Red,Small Grin,Closed,None,Vietnam Jacket,Girl's Hair Pink
34,Orange,Black,Bored,Sleepy,None,Sleeveless T,Bayc Hat Red
35,Blue,Death Bot,Jovial,3d,None,Navy Striped Tee,None
36,Purple,Dark Brown,Bored Unshaven,Bored,None,Sailor Shirt,None
37,Blue,Blue,Bored,Bored,Silver Hoop,Striped Tee,Bowler
