0,0.01,,,,,,,,,,,,,
1,25.90347,,,,,,,,,,,,,
2,25.149,,,,,,,,,,,,,
3,25.149,,,,,,,,,,,,,
4,25.149,,,,,,,,,,,,,
5,25.149,,,,,,,,,,,,,
6,20.1192,10,,,,,,,,,,,,
7,25.149,,,,,,,,,,,,,
8,25.149,,,,,,,,,,,,,
9,25.149,,,,,,,,,,,,,
10,25.149,,,,,,,,,,,,,
11,25.149,20,,,,,,,,,,,,
12,25.149,,,,,,,,,,,,,
13,22.6341,1,,,,,,,,,,,,
14,25.149,,,,,,,,,,,,,
15,25.149,0.65,11.15,38.77,,,,,,,,,,
16,25.149,1.2,0.74,32.602,,,,,,,,,,
17,25.149,,,,,,,,,,,,,
18,25.90347,1,4.99,18,,,,,,,,,,
19,25.149,1.5,,,,,,,,,,,,
20,25.149,5.47,17.75,,,,,,,,,,,
21,25.149,,,,,,,,,,,,,
22,25.149,2,7.99,,,,,,,,,,,
23,25.90347,2,23,,,,,,,,,,,
24,25.149,,,,,,,,,,,,,
25,25.149,0.425,0.9,0.63,,,,,,,,,,
26,25.149,,,,,,,,,,,,,
27,25.149,,,,,,,,,,,,,
28,25.149,,,,,,,,,,,,,
29,25.149,0.129,,,,,,,,,,,,
30,25.149,,,,,,,,,,,,,
31,25.149,39.69,,,,,,,,,,,,
32,25.90347,2.5,,,,,,,,,,,,
33,25.149,0.16,3.33,,,,,,,,,,,
34,25.149,0.45,,,,,,,,,,,,
35,25.149,40,,,,,,,,,,,,
36,25.149,39.85,35.95,,,,,,,,,,,
37,25.149,1.5,6.88,7.8,55,,,,,,,,,
38,25.149,1.5,1.8,,,,,,,,,,,
39,25.149,40,,,,,,,,,,,,
40,25.149,14.25,16.1,,,,,,,,,,,
41,25.149,51,44.5,,,,,,,,,,,
42,22.6341,2.85,7,,,,,,,,,,,
43,22.6341,0.64,38,49.69,54.95,,,,,,,,,
44,22.6341,0.35,7,,,,,,,,,,,
45,25.149,1.2,,,,,,,,,,,,
46,25.149,,,,,,,,,,,,,
47,25.149,,,,,,,,,,,,,
48,25.149,0.2,,,,,,,,,,,,
49,25.149,0.8,,,,,,,,,,,,
50,25.149,1,15,90,,,,,,,,,,
51,25.90347,1,2,3.8,48.88,,,,,,,,,
52,25.90347,3,,,,,,,,,,,,
53,25.149,1,,,,,,,,,,,,
54,25.149,0.45,2.3,8.87,,,,,,,,,,
55,25.149,23,40,,,,,,,,,,,
56,20.1192,0.25,40,,,,,,,,,,,
57,25.149,,,,,,,,,,,,,
58,25.149,5,,,,,,,,,,,,
59,25.149,1.301,1.6899,5.888,,,,,,,,,,
60,25.149,,,,,,,,,,,,,
61,25.149,0.49,0.2,0.72,2.3,16.69,35,,,,,,,
62,25.149,0.35,0.44,,,,,,,,,,,
63,25.149,,,,,,,,,,,,,
64,25.149,2.61,3.24,47,,,,,,,,,,
65,25.149,0.3,0.55,,,,,,,,,,,
66,25.149,1.02,,,,,,,,,,,,
67,25.149,0.455,0.6999,5,4.97,6.67,9.24,,,,,,,
68,25.149,0.5,,,,,,,,,,,,
69,25.149,1.95,,,,,,,,,,,,
70,25.149,0.79,,,,,,,,,,,,
71,25.149,0.5,1.19,48,45,,,,,,,,,
72,25.149,0.4,1.2999,,,,,,,,,,,
73,25.90347,30,,,,,,,,,,,,
74,25.149,0.2,0.5999,29.5,,,,,,,,,,
75,25.149,0.32,0.63,35.5,,,,,,,,,,
76,25.149,0.32,1.2999,1.75,12,14.59,29,,,,,,,
77,22.6341,0.25,,,,,,,,,,,,
78,25.149,0.32,2.2999,4.2069,8.688,38,41.69,,,,,,,
79,25.149,0.16,10,14,,,,,,,,,,
80,25.149,0.32,5,5.85,,,,,,,,,,
81,25.149,0.5,0.375,,,,,,,,,,,
82,25.149,0.32,0.63,32.622,35.748,,,,,,,,,
83,22.6341,0.7,,,,,,,,,,,,
84,22.6341,0.32,4.99,,,,,,,,,,,
85,25.90347,0.35,1.1999,2.39,,,,,,,,,,
86,25.149,0.32,0.7999,36,,,,,,,,,,
87,25.149,0.5,,,,,,,,,,,,
88,25.90347,0.5,1.797,,,,,,,,,,,
89,25.149,0.7,2.25,4.49,26.69,,,,,,,,,
90,25.149,0.5,,,,,,,,,,,,
91,25.149,0.254,0.44,1.975,2.33,4.469,,,,,,,,
92,25.149,0.43,0.9999,2,50,,,,,,,,,
93,25.90347,0.514,0.91,1,,,,,,,,,,
94,25.149,,,,,,,,,,,,,
95,25.149,0.64,,,,,,,,,,,,
96,25.149,,,,,,,,,,,,,
97,25.149,1.5,,,,,,,,,,,,
98,25.149,0.7,,,,,,,,,,,,
99,25.149,0.7,4.1,7,34.6,44.5,37,,,,,,,
100,25.149,41.14,,,,,,,,,,,,
101,25.149,6.66,38,,,,,,,,,,,
102,25.149,8.88,41.2222,,,,,,,,,,,
103,25.149,17.77,36,38.25,36.12,34.9,,,,,,,,
104,25.149,,,,,,,,,,,,,
105,22.6341,33.33,,,,,,,,,,,,
106,20.1192,,,,,,,,,,,,,
107,25.90347,,,,,,,,,,,,,
108,25.149,15.5,27.4,,,,,,,,,,,
109,25.149,,,,,,,,,,,,,
110,25.149,,,,,,,,,,,,,
111,25.149,,,,,,,,,,,,,
112,25.149,0.777,7.77,,,,,,,,,,,
113,25.149,,,,,,,,,,,,,
114,25.149,33,,,,,,,,,,,,
115,25.149,0.16,4,6.95,,,,,,,,,,
116,22.6341,,,,,,,,,,,,,
117,25.90347,1.2,3.33,30,30,69,,,,,,,,
118,25.90347,,,,,,,,,,,,,
119,25.149,0.48,0.75,,,,,,,,,,,
120,25.149,10,,,,,,,,,,,,
121,25.90347,,,,,,,,,,,,,
122,25.149,20.1,23,,,,,,,,,,,
123,22.6341,1.1055,4.2,5.5,,,,,,,,,,
124,25.149,0.6,2.59,,,,,,,,,,,
125,22.6341,0.49,1,,,,,,,,,,,
126,260,0.8,40,,,,,,,,,,,
127,20.1192,0.49,0.43,,,,,,,,,,,
128,25.90347,9,10,15,,,,,,,,,,
129,25.149,0.6,31.563,37.99,,,,,,,,,,
130,25.149,0.49,,,,,,,,,,,,
131,25.149,0.2,0.96,0.9,3.899,5.485,,,,,,,,
132,25.149,1,2.79,4.6,11.99,,,,,,,,,
133,25.149,0.49,,,,,,,,,,,,
134,25.90347,0.6,1.6666,1.66,,,,,,,,,,
135,25.149,0.6,36.5,,,,,,,,,,,
136,25.149,1.3,,,,,,,,,,,,
137,20.1192,0.6,1.3,,,,,,,,,,,
138,25.149,3.2,10.47,,,,,,,,,,,
139,0,30,,,,,,,,,,,,
140,25.149,0.33,6.25,7.29,,,,,,,,,,
141,25.149,0.577053951,0.99,32,36.1,49.98,40,32.95,,,,,,
142,25.149,50,,,,,,,,,,,,
143,25.149,,,,,,,,,,,,,
144,25.149,0.182,0.35,,,,,,,,,,,
145,25.149,,,,,,,,,,,,,
146,25.90347,1.25,,,,,,,,,,,,
147,25.149,0.16,25,,,,,,,,,,,
148,25.149,,,,,,,,,,,,,
149,25.149,0.397134829,,,,,,,,,,,,
150,25.149,50,55,,,,,,,,,,,
151,25.149,,,,,,,,,,,,,
152,25.149,32.369,36.69,,,,,,,,,,,
153,25.149,,,,,,,,,,,,,
154,25.149,60,50.03,45,46.99,,,,,,,,,
155,25.149,,,,,,,,,,,,,
156,25.149,31.6938,35.49,,,,,,,,,,,
157,25.149,34,41,,,,,,,,,,,
158,25.149,37,43.75,,,,,,,,,,,
159,25.149,20,,,,,,,,,,,,
160,25.149,32.5121,36.4,37.49,,,,,,,,,,
161,25.149,32.369,36.4,,,,,,,,,,,
162,38.5,12,,,,,,,,,,,,
163,25.149,30,,,,,,,,,,,,
164,25.149,,,,,,,,,,,,,
165,25.149,,,,,,,,,,,,,
166,25.149,35,,,,,,,,,,,,
167,22.6341,35.96,41.111,,,,,,,,,,,
168,25.149,35,52,38.7,,,,,,,,,,
169,25.149,11,18.7,,,,,,,,,,,
170,25.149,1.7220739,12,22.5,,,,,,,,,,
171,25.149,0.4888,0.57,1.7,2.44,6.9,5.1,13.999,32.6,,,,,
172,25.149,2.1,2.65,4.2,,,,,,,,,,
173,25.149,3.69,,,,,,,,,,,,
174,25.149,5.2,,,,,,,,,,,,
175,25.149,2.469,7.1,,,,,,,,,,,
176,22.6341,0.515,1.9999,,,,,,,,,,,
177,25.149,1.505,1.95,8.25,8.7,,,,,,,,,
178,25.149,0.76,1.45,,,,,,,,,,,
179,25.149,0.242,0.3999,1.99,15.9,16.5,,,,,,,,
180,25.149,0.38,6.99,,,,,,,,,,,
181,20.1192,7,9.5,25,,,,,,,,,,
182,25.149,1.65,2.0999,6.3,,,,,,,,,,
183,25.149,1.7,2.05,3.19,,,,,,,,,,
184,25.149,1.757,4.78,,,,,,,,,,,
185,25.90347,20,36,,,,,,,,,,,
186,25.149,1.65,2.2999,,,,,,,,,,,
187,25.149,,,,,,,,,,,,,
188,25.149,1.5,8.69,,,,,,,,,,,
189,25.149,2.4,41.95,,,,,,,,,,,
190,25.149,1.5,4,30,,,,,,,,,,
191,25.149,1.8,3,2.68,4.44,49,,,,,,,,
192,25.149,44.8,,,,,,,,,,,,
193,25.90347,1.51,1.59,,,,,,,,,,,
194,25.149,0.1,0.3199,,,,,,,,,,,
195,25.149,0.12,32.83095417,,,,,,,,,,,
196,25.149,1.5,2.4,11,,,,,,,,,,
197,25.90347,109,,,,,,,,,,,,
198,20.1192,,,,,,,,,,,,,
199,25.149,,,,,,,,,,,,,
200,25.149,33,,,,,,,,,,,,
201,25.149,0.35,,,,,,,,,,,,
202,25.149,32,40.5,54.2069,,,,,,,,,,
203,25.149,0.27,24,45,44.999,40.9,,,,,,,,
204,25.149,,,,,,,,,,,,,
205,20.1192,0.1,4,24.2,40.68,,,,,,,,,
206,25.149,0.14,,,,,,,,,,,,
207,25.149,0.28,0.41,8,33,80,,,,,,,,
208,25.149,,,,,,,,,,,,,
209,25.149,0.437,0.6,33,40,,,,,,,,,
210,25.149,0.4,1.72,,,,,,,,,,,
211,25.90347,12.5,90,147.8,,,,,,,,,,
212,25.90347,23.5,35,,,,,,,,,,,
213,25.149,1.25,33.66,,,,,,,,,,,
214,25.149,0.315,10,16.8,,,,,,,,,,
215,25.149,0.432,0.5,4.49,8,5.35,6.58,6.2,7.2,14.65,21.99,21.99,28.85,
216,22.6341,2.805,3.4346,2.85,5.5,14.5,35,,,,,,,
217,25.149,16.69,19.99,35.02,39.75,,,,,,,,,
218,25.149,17,,,,,,,,,,,,
219,25.149,0.41,16.5,,,,,,,,,,,
220,25.149,0.35,0.2,2.68,3.089,16.18,,,,,,,,
221,20.1192,0.33,3.1,,,,,,,,,,,
222,25.149,18.995,,,,,,,,,,,,
223,25.149,1.75,,,,,,,,,,,,
224,25.149,0.33,,,,,,,,,,,,
225,25.149,0,,,,,,,,,,,,
226,25.149,1.74,4,,,,,,,,,,,
227,25.149,,,,,,,,,,,,,
228,25.149,8.88,,,,,,,,,,,,
229,25.149,6.45,,,,,,,,,,,,
230,25.149,8,15.49,13.65,41,,,,,,,,,
231,25.149,,,,,,,,,,,,,
232,25.90347,,,,,,,,,,,,,
233,25.90347,,,,,,,,,,,,,
234,25.149,,,,,,,,,,,,,
235,25.149,,,,,,,,,,,,,
236,25.90347,0.6,,,,,,,,,,,,
237,25.149,28,74,,,,,,,,,,,
238,25.149,,,,,,,,,,,,,
239,25.149,0.25,0.45,,,,,,,,,,,
240,45,0.7995,30,,,,,,,,,,,
241,22.6341,4.6,4.83,10.5,14.95,14.97,,,,,,,,
242,25.149,,,,,,,,,,,,,
243,25.149,1.488,0.8888,,,,,,,,,,,
244,25.149,0.55,,,,,,,,,,,,
245,25.149,1,3.99,,,,,,,,,,,
246,25.149,0.75,,,,,,,,,,,,
247,25.149,1.25,1.75,15,47.5,,,,,,,,,
248,25.90347,0.85,2.2,,,,,,,,,,,
249,25.149,0.2,0.6999,0.63,,,,,,,,,,
250,25.149,0.142,0.3333,13.65,14.49,,,,,,,,,
251,25.149,0.35,0.8999,1.05,0.844,,,,,,,,,
252,25.149,0.55,1.2,4.5,18.5,,,,,,,,,
253,25.149,2.1,45,49.7,,,,,,,,,,
254,20.1192,0.833,,,,,,,,,,,,
255,25.149,,,,,,,,,,,,,
256,20.1192,1.9,,,,,,,,,,,,
257,25.90347,19.3,,,,,,,,,,,,
258,25.149,6,12,,,,,,,,,,,
259,25.149,5,8.3,,,,,,,,,,,
260,20.1192,3.14,3.152,3.2999,3.6999,46.5,,,,,,,,
261,25.149,4.7,,,,,,,,,,,,
262,25.149,3.72,,,,,,,,,,,,
263,25.149,3.63,,,,,,,,,,,,
264,25.149,105,,,,,,,,,,,,
265,25.90347,24.7,,,,,,,,,,,,
266,25.149,8.3,,,,,,,,,,,,
